dam,obs_date,obs_time,rwl_m,dev_24h_m,nhwl_m,dev_nhwl_m,rule_curve_m,dev_rule_curve_m,gates,gate_opening_m,inflow_cms,outflow_cms
Ambuklao,2026-09-20,08:00 am,751.38,,752.00,-0.62,745.00,6.38,1,0.30,,64.29
Angat,2026-09-20,08:00 am,208.29,,210.00,-1.71,185.30,22.99,,,,
Binga,2026-09-20,08:00 am,575.00,,575.00,0.00,565.00,10.00,2,0.60,,114.78
Caliraya,2026-09-20,08:00 am,286.17,,0.00,0.00,0.00,0.00,,,,
Ipo,2026-09-20,08:00 am,100.50,,101.10,-0.60,0.00,0.00,,,,
La Mesa,2026-09-20,08:00 am,78.58,,80.15,-1.57,0.00,0.00,,,,
Magat Dam,2026-09-20,08:00 am,189.06,,190.00,-0.94,184.83,4.23,,,,
Pantabangan,2026-09-20,08:00 am,205.00,,218.50,-13.50,214.93,-9.93,,,,
San Roque,2026-09-20,08:00 am,281.69,,280.00,1.69,263.42,18.27,,,,
Ambuklao,2026-09-21,08:00 am,751.03,,752.00,-0.97,745.00,6.03,1,0.30,,113.89
Angat,2026-09-21,08:00 am,208.23,,210.00,-1.77,185.11,23.12,,,,
Binga,2026-09-21,08:00 am,574.61,,575.00,-0.39,565.00,9.61,1,0.30,,127.02
Caliraya,2026-09-21,08:00 am,286.22,,0.00,0.00,0.00,0.00,,,,
Ipo,2026-09-21,08:00 am,100.53,,101.10,-0.57,0.00,0.00,,,,
La Mesa,2026-09-21,08:00 am,78.55,,80.15,-1.60,0.00,0.00,,,,
Magat Dam,2026-09-21,08:00 am,189.06,,190.00,-0.94,184.95,4.11,,,,
Pantabangan,2026-09-21,08:00 am,205.28,,218.50,-13.22,215.04,-9.76,,,,
San Roque,2026-09-21,08:00 am,281.72,,280.00,1.72,263.93,17.79,,,,
Ambuklao,2026-09-22,08:00 am,751.03,,752.00,-0.97,745.00,6.03,,,,
Angat,2026-09-22,08:00 am,208.46,,210.00,-1.54,185.19,23.27,,,,
Binga,2026-09-22,08:00 am,574.48,,575.00,-0.52,565.00,9.48,,,,
Caliraya,2026-09-22,08:00 am,286.18,,0.00,0.00,0.00,0.00,,,,
Ipo,2026-09-22,08:00 am,100.34,,101.10,-0.76,0.00,0.00,,,,
La Mesa,2026-09-22,08:00 am,78.53,,80.15,-1.62,0.00,0.00,,,,
Magat Dam,2026-09-22,08:00 am,189.01,,190.00,-0.99,185.07,3.94,,,,
Pantabangan,2026-09-22,08:00 am,205.63,,218.50,-12.87,215.16,-9.53,,,,
San Roque,2026-09-22,08:00 am,281.60,,280.00,1.60,264.45,17.15,,,,
Ambuklao,2026-09-23,08:00 AM,-,,752.00,,745.00,,,,,
Angat,2026-09-23,08:00 AM,-,,210.00,,185.26,,,,,
Binga,2026-09-23,08:00 AM,-,,575.00,,565.00,,,,,
Caliraya,2026-09-23,08:00 AM,-,,0.00,,0.00,,,,,
Ipo,2026-09-23,08:00 AM,100.46,0.12,101.10,-0.64,0.00,0.00,,,,
La Mesa,2026-09-23,08:00 AM,78.64,0.11,80.15,-1.51,0.00,0.00,,,,
Magat Dam,2026-09-23,08:00 AM,-,,190.00,,185.18,,,,,
Pantabangan,2026-09-23,08:00 AM,205.99,0.36,218.50,-12.51,215.28,-9.29,,,,
San Roque,2026-09-23,08:00 AM,-,,280.00,,264.97,,,,,
